error_pattern,solution
How can I pretty-print JSON in a shell script?,"Is there a (Unix) shell script to format JSON in human-readable form?
Basically, I want it to transform the following:
{ ""foo"": ""lorem"", ""bar"": ""ipsum"" }

... ..."
How do I copy a folder from remote to local using scp? [closed],"How do I copy a folder from remote to local host using scp?
I use ssh to log in to my server.
Then, I would like to copy the remote folder foo to local /home/user/Desktop.
How do I achieve this?"
"Git is not working after macOS update (""xcrun: error: invalid active developer path (/Library/Developer/CommandLineTools"")","I updated to the latest OS, and/or restarted my computer (this happens on every major update, but this time all I did was restart my computer on 2022-09-13).
This morning I navigated to my work's ..."
Is there an equivalent of 'which' on the Windows command line? [closed],"As I sometimes have path problems, where one of my own cmd scripts is hidden (shadowed) by another program (earlier on the path), I would like to be able to find the full path to a program on the ..."
How to change the output color of echo in Linux,"I am trying to print a text in the terminal using echo command. 

I want to print the text in a red color. How can I do that?"
How to import an SQL file using the command line in MySQL?,"I have a .sql file with an export from phpMyAdmin. I want to import it into a different server using the command line.
I have a Windows Server 2008 R2 installation. I placed the .sql file on the C ..."
How do I parse command line arguments in Bash?,"Say, I have a script that gets called with this line:
./myscript -vfd ./foo/bar/someFile -o /fizz/someOtherFile

or this one:
./myscript -v -f -d -o /fizz/someOtherFile ./foo/bar/someFile 

What's the ..."
How do I set a variable to the output of a command in Bash?,"I have a pretty simple script that is something like the following:

#!/bin/bash

VAR1=""$1""
MOREF='sudo run command against $VAR1 | grep name | cut -c7-'

echo $MOREF
When I run this script from the ..."
Count number of lines in a non binary file (Like a CSV or a TXT) file in terminal [closed],"I have a text file, and I like to know the total number of line withou opening it. My document is like these, and I want to know how many lines actually...
09:16:39 AM  all    2.00    0.00    4.00    ..."
How can I get a list of user accounts using the command line in MySQL?,"I'm using the MySQL command-line utility and can navigate through a database. Now I need to see a list of user accounts. How can I do this?
I'm using MySQL version 5.4.1."
How do I run two commands in one line in Windows CMD?,"I want to run two commands in a Windows CMD console.

In Linux I would do it like this

touch thisfile ; ls -lstrh
How is it done on Windows?"
git undo all uncommitted or unsaved changes,I'm trying to undo all changes since my last commit. I tried git reset --hard and git reset --hard HEAD after viewing this post. I responds with head is now at 18c3773... but when I look at my local ...
How to reload .bash_profile from the command line,"How can I reload file .bash_profile from the command line?
I can get the shell to recognize changes to .bash_profile by exiting and logging back in, but I would like to be able to do it on demand."
How to pass command line arguments to a rake task,"I have a rake task that needs to insert a value into multiple databases.  

I'd like to pass this value into the rake task from the command line, or from another rake task.

How can I do this?"
List all environment variables from the command line,"Is it possible to list all environment variables from a Windows' command prompt?

Something equivalent to PowerShell's gci env: (or ls env: or dir env:)."
Including all the jars in a directory within the Java classpath,"Is there a way to include all the jar files within a directory in the classpath?

I'm trying java -classpath lib/*.jar:. my.package.Program and it is not able to find class files that are certainly in ..."
How to iterate over arguments in a Bash script,"I have a complex command that I'd like to make a shell/bash script of.  I can write it in terms of $1 easily:

foo $1 args -o $1.ext
I want to be able to pass multiple input names to the script. What'..."
How can I get the current date and time in the terminal and set a custom command in the terminal for it? [closed],"I have to check the time in a Linux terminal.

What is the command for getting date and time in a Linux terminal?

Is there a way in which we can set a custom function?"
How do I get the application exit code from a Windows command line?,"I am running a program and want to see what its return code is (since it returns different codes based on different errors).

I know in Bash I can do this by running
  echo $?
What do I do when ..."
Use grep --exclude/--include syntax to not grep through certain files,"I'm looking for the string foo= in text files in a directory tree. It's on a common Linux machine, I have bash shell:
grep -ircl ""foo="" *

In the directories are also many binary files which ..."
How to force cp to overwrite without confirmation,"I'm trying to use the cp command and force an overwrite.

I have tried cp -rf /foo/* /bar, but I am still prompted to confirm each overwrite."
How can I reverse the order of lines in a file?,"I'd like to reverse the order of lines in a text file (or stdin), preserving the contents of each line.

So, i.e., starting with:

foo
bar
baz
I'd like to end up with 

baz
bar
foo
Is there a ..."
How can I redirect Windows cmd standard output and standard error to a single file?,"I'm trying to redirect all output (standard output and standard error) of a Windows command to a single file:
C:\
cd \
dir 1> a.txt 2> a.txt

Output:

The process cannot access the file because ..."
How can I read and process (parse) command line arguments?,"In Python, how can we find out the command line arguments that were provided for a script, and process them?

Related background reading: What does ""sys.argv[1]"" mean? (What is sys.argv, and ..."
Run a PostgreSQL .sql file using command line arguments,I have some .sql files with thousands of INSERT statements in them and need to run these inserts on my PostgreSQL database in order to add them to a table. The files are that large that it is ...
Run Command Prompt Commands,"Is there any way to run command prompt commands from within a C# application?  If so how would I do the following:

copy /b Image1.jpg + Archive.rar Image2.jpg
This basically embeds an RAR file ..."
Linux command to print directory structure in the form of a tree [closed],"Is there any linux command that I can call from a Bash script that will print the directory structure in the form of a tree, e.g.,

folder1
   a.txt
   b.txt
folder2
   folder3"
